Unnamed: 0,id,stateId,countyId,cityId,country,datePostedString,is_bankOwned,is_forAuction,event,time,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,longitude,latitude,hasBadGeocode,description,currency,livingArea,livingAreaValue,lotAreaUnits,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,hasPetsAllowed,homeType,county
25,91605-20004289,9,563,12447,USA,2021-07-05,0,0,Price change,1625616000000.0,4600000.0,415.0,North Hollywood,CA,2018,11740 Vanowen St,91605.0,-118.38932800292967,34.19363021850586,0,We are proud to present (Year Built 2019) contemporary construction 11-units luxurious to you in the heart of North Hollywood. Its unit mix consists of (2 Units) 3Br/2Ba (5 Units) 2Br/2Ba and (3 Units) 1Br/1Ba. All units have open floor plans master bedrooms walk-in closets and HVAC system. Each has a very unique floor plan layout. Quartz kitchen counter tops with laminated wood floor throughout. Some units has balconies. Minutes away from NoHo Red/Orange Line station Burbank Shopping and soon to be completed NoHo Entertainment complex blocks away! Too many amenities to mention must see. Rooftop can be designed and used as common area.,USD,11073.0,11073.0,sqft,0.0,0.0,11073.0,1,1.0,1,Three Or More,0,0,0,0,MULTI_FAMILY,Los Angeles County
42,91101-20866612,9,584,47019,USA,2021-07-13,0,0,Listed for sale,1626134400000.0,1699000.0,768.0,Pasadena,CA,1949,742 Earlham St,91101.0,-118.13525390625,34.15644073486328,0,Live in one unit and rent the other three or rent all four and have a great income producing property.  Great location in Pasadena close to 210 freeway and the Metro Gold Line.  Close to Caltech and downtown.  Two buildings each with a 2 bedroom and 1 bedroom unit.  Bedroom count differs from tax records buyer to verify. Tax records show front unit built in 1917 back unit built in 1949.  Check out the detached 2 car garage for back unit.  Private yard area for back unit.  Front unit also has private yard.  Please see photos (coming soon) for the many upgrades done by sellers.  Plenty of off-street parking.  Professional photos will be uploaded by end of week.,USD,2212.0,2212.0,Acres,0.0,0.0,2212.0,1,2.0,1,One,0,0,0,0,MULTI_FAMILY,Los Angeles County
52,91103-250338739,9,594,47019,USA,2021-07-10,0,0,Price change,1625011200000.0,1650000.0,359.0,Pasadena,CA,1961,300 W Washington Blvd,91103.0,-118.15691375732422,34.16883087158203,0,5-Unit Single-story apartment situated in Pasadena CA near the Rose Bowl. Total size 4600 square feet on a 11116 square feet lot. Separate electricity and gas meters. This is a value-add opportunity currently below market rents with 27% potential upside income based on fair market rents; 100% occupied. Zoning RM-16. There is also a 2-car garage for a future potential accessory dwelling unit (ADU). Buyer and buyer’s agent are responsible to verify the accuracy all information that pertains to buyer’s investigation. Drive by only. Tenants are unaware of the sale please do not disturb tenants. Do not go onto the property.,USD,4600.0,4600.0,Acres,0.0,0.0,4600.0,1,2.0,1,One,0,0,0,0,MULTI_FAMILY,Los Angeles County
93,90026-20742371,9,968,12447,USA,2021-07-13,0,0,Listed for sale,1626134400000.0,1200000.0,1961.0,Los Angeles,CA,1929,1907 Lemoyne St,90026.0,-118.25453186035156,34.087650299072266,0,Retreat into this private oasis in the heart of a vibrant & eclectic neighborhood with views of Griffith Observatory & the Hollywood sign. This unique property includes a second lot allowing room to build a custom home at the top of the lot while keeping the existing bungalow as a guest house or ADU. At the street level you will notice a custom retractable fence welcoming you into the grounds. This bungalow is wrapped in privacy being below the street level and surrounded by carefully curated landscaping creating a secluded & relaxed atmosphere. Enjoy the outdoor space with terraced entertaining areas that connect the buildings. After sunset you can continue to enjoy outdoor living with the gas firepit and landscape lighting. Coming inside the main house the interior has an open concept with vaulted ceilings and exposed beams. The kitchen boasts a Viking oven with 4 burner cooktop corian countertops a movable kitchen island and plenty of natural light. The living space flows to the bedroom with en suite bathroom. Below the main level is storage & a partially finished multipurpose room with AC & heat. The first outbuilding has a half bath inside an outdoor shower & can be used as a guest house office studio or schoolroom. The seller is putting finishing touches on several items while the home is on the market. We welcome you to come see this unique property.,USD,612.0,612.0,sqft,0.0,1.0,0.0,0,0.0,0,Two,0,0,0,0,SINGLE_FAMILY,Los Angeles County
94,90031-82883298,9,969,12447,USA,2021-07-13,0,0,Listed for sale,1626134400000.0,1500000.0,257.0,Los Angeles,CA,1949,2653 Pasadena Ave,90031.0,-118.21574401855467,34.078384399414055,0,Rare opportunity to own 6 units on a HUGE 17000+ sqft flat lot with 5 vacant units!  Fixer cash only.  2653 Pasadena Ave in Lincoln Heights Los Angeles has a total of 3 buildings with 5827 sqft of living space.  Rear building has four attached single-story 1 bed/1 bath units (2587 sqft) with extensive fire damage and is uninhabitable.  The front building is a small office (432 sqft) with a half bath and has potential to be converted to residential (Buyer to verify w/ the city).  In the middle sits a single-family home (2808 sqft) that is currently tenant-occupied and being used as 2 units.  Rear building has an attached 2-car garage and communal laundry room.  There is an additional 10 uncovered spaces. 8 electrical meters 8 gas meters and 1 water meter. Centrally located in Lincoln Heights and close to DTLA Pasadena Highland Park with easy access to the 5 and 110 freeways.,USD,5827.0,5827.0,Acres,0.0,0.0,5827.0,1,2.0,1,0,0,0,0,0,MULTI_FAMILY,Los Angeles County
112,90012-2079314816,9,987,12447,USA,2021-07-08,0,0,Listed for sale,1622160000000.0,1850000.0,389.0,Los Angeles,CA,1985,733 Bernard St,90012.0,-118.24097442626952,34.06845092773437,0,2 Units now delivered tenant-ready! Great opportunity to own a Non-Rent Controlled ‘85 Construction property at 733 Bernard St. Los Angeles. New buyers can take advantage of this Value-Add NON-RENT CONTROLLED asset currently operating at a 5.33% CAP with still plenty of room to grow the monthly income. This Echo Park adjacent 6-Unit asset is located only one block away from Dodgers Stadium!  Bernard St. has a very strong unit mix comprised of (6) 2-bedroom/2- bath units. There is plenty of tuck-under parking on the property enough  space to fit over 10 cars. Units are in good shape featuring dishwashers Central A/C & Heat and copper plumbing. All units are currently receiving good rental income with the property operating at a 5.33% Cap and 12.64 GRM. There is still over 23% upside in rental income available offering a proforma 6.70% Cap and 10.73 GRM. Property is separately metered for gas and electric.  Only minutes away from Downtown Los Angeles Echo Park & Silverlake this Non-Rent Controlled asset is an ideal pickup for any exchange buyer  or investor looking to own a cash-flowing property with still plenty of upside in market rents.,USD,4754.0,4754.0,sqft,0.0,0.0,4754.0,0,0.0,0,Two,0,0,0,0,MULTI_FAMILY,Los Angeles County
113,90026-20739209,9,988,12447,USA,2021-07-08,0,0,Listed for sale,1625702400000.0,1099000.0,592.0,Los Angeles,CA,1922,620 N Coronado St,90026.0,-118.27101135253906,34.075557708740234,0,Great investment opportunity in desired Silver Lake. Perfect duplex with an option to live in one and rent the other or use as an investment and rent both units. The main unit offers 2 bedrooms 1 bath a den spacious living room open to the dining and kitchen. Open layout with lots of character and built-ins.  The second unit is a 1 bedroom/1bath with a bright living room and spacious dining room. Both units have their own separate laundry area. Spacious lot perfect for entertaining or a nice read while sipping on a coffee. Within close proximity to the Griffith Observatory DTLA freeways eateries and shopping.  A MUST SEE!,USD,1856.0,1856.0,sqft,0.0,0.0,1856.0,1,2.0,1,One,0,0,0,0,MULTI_FAMILY,Los Angeles County
283,95815-148553694,9,3662,20288,USA,2021-07-09,0,0,Listed for sale,1625788800000.0,1319000.0,291.0,Sacramento,CA,1959,2605 Albatross Way,95815.0,-121.42357635498048,38.61316680908203,0,This 4536 square foot multi family home has 7 bedrooms and 0.0 bathrooms. This home is located at 2605 Albatross Way Sacramento CA 95815.,USD,4536.0,4536.0,Acres,0.0,7.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
284,95815-26080975,9,3663,20288,USA,2021-07-09,0,0,Listed for sale,1625788800000.0,1319000.0,1065.0,Sacramento,CA,1948,2601 Albatross Way,95815.0,-121.4234390258789,38.61305618286133,0,This 1238 square foot multi family home has 2 bedrooms and 0.0 bathrooms. This home is located at 2601 Albatross Way Sacramento CA 95815.,USD,1238.0,1238.0,sqft,0.0,2.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
292,95815-26090217,9,3671,20288,USA,2021-07-07,0,0,Listed for sale,1625616000000.0,470000.0,230.0,Sacramento,CA,1960,2387 Boxwood St,95815.0,-121.44651794433594,38.60902404785156,0,This 2040 square foot multi family home has 3 bedrooms and 0.0 bathrooms. This home is located at 2387 Boxwood St Sacramento CA 95815.,USD,2040.0,2040.0,sqft,0.0,3.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
